Program Facility Name_x,Locality_x,County_x,Contributing Factor_x,Source_x,Material Name_x,Material Family_x,Year_x,Unrecovered Amount_x,Program Facility Name_y
CON ED FEEDER 72 AT DUNWOODIE SUBSTATION,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2023.0,5613.0,CON ED FEEDER 72 AT DUNWOODIE SUBSTATION
CON ED FEEDER 72 LEAK,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,1276.0,CON ED FEEDER 72 LEAK
CON ED FEEDER 72,YONKERS,Westchester,Equipment Failure,Transformer,dielectric fluid,Petroleum,2022.0,390.0,CON ED FEEDER 72
CON ED FEEDER FRESH KILL,STATEN ISLAND,Richmond,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,850.0,CON ED FEEDER FRESH KILL
CON ED FEEDER LEAK 18002,QUEENS,Queens,Unknown,Transformer,dielectric fluid,Petroleum,2016.0,210.0,CON ED FEEDER LEAK 18002
CON ED FEEDER LEAK 26 GOWANUS AND GOETHALS,STATEN ISLAND,Richmond,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,577.0,CON ED FEEDER LEAK 26 GOWANUS AND GOETHALS
CON ED FEEDER LEAK 702,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2017.0,1300.0,CON ED FEEDER LEAK 702
CON ED FEEDER LEAK JAMAICA BROOKLYN 702,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2022.0,422.0,CON ED FEEDER LEAK JAMAICA BROOKLYN 702
CON ED FEEDER LEAK M-52,YONKERS,Westchester,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2018.0,1013.0,CON ED FEEDER LEAK M-52
CON ED FEEDER LEAK MCDONALD AVE,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,300.0,CON ED FEEDER LEAK MCDONALD AVE
CON ED FEEDER LEAK TO SOIL,MANHATTAN,New York,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2019.0,130.0,CON ED FEEDER LEAK TO SOIL
CON ED FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial/Industrial,dielectric fluid,Petroleum,2009.0,370.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,BROOKLYN,Kings,Other,Commercial/Industrial,dielectric fluid,Petroleum,2015.0,400.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,QUEENS,Queens,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,325.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,BROOKLYN,Kings,Equipment Failure,Commercial/Industrial,dielectric fluid,Petroleum,2016.0,200.0,CON ED FEEDER LEAK
CON ED FEEDER LEAK,MANHATTAN,New York,Unknown,Commercial Vehicle,transformer oil,Petroleum,2020.0,1006.0,CON ED FEEDER LEAK
